Rank,Ticker,Company,Sector,City,State,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Market_Cap
235,EA,Electronic Arts,Communication Services,Redwood City,California,2024-03-01,139,140,1.23,1684176,$37.64 B
236,D,Dominion Energy,Utilities,Richmond,Virginia,2024-03-01,46,44,-4.4,13791499,$37.51 B
237,IR,Ingersoll Rand,Industrials,Davidson,North Carolina,2024-03-01,90,91,0.76,2471966,$36.97 B
238,NEM,Newmont,Materials,Denver,Colorado,2024-03-01,31,31,0.98,15359824,$36.81 B
239,IT,Gartner,Information Technology,Stamford,Connecticut,2024-03-01,464,471,1.51,274748,$36.76 B
240,MLM,Martin Marietta Materials,Materials,Raleigh,North Carolina,2024-03-01,577,589,2.15,654301,$36.47 B
241,MRNA,Moderna,Health Care,Cambridge,Massachusetts,2024-03-01,92,95,2.65,3739828,$36.32 B
242,GIS,General Mills,Consumer Staples,Golden Valley,Minnesota,2024-03-01,64,63,-0.4,3359199,$36.31 B
243,CSGP,CoStar Group,Real Estate,Washington,D.C.,2024-03-01,87,88,1.42,1853164,$36.05 B
244,KVUE,Kenvue,Consumer Staples,Skillman,New Jersey,2024-03-01,18,18,0.0,14047768,$36.04 B
245,MPWR,Monolithic Power Systems,Information Technology,Kirkland,Washington,2024-03-01,726,743,2.31,634127,$35.72 B
